,movie,links,year,timeMin,imdb,metascore,votes,us_grossMillions
0,CODA,/title/tt10366460/,2021,111,8.1,74,93032,
1,The Batman,/title/tt1877830/,2022,176,8.3,72,318759,
2,RRR,/title/tt8178634/,2022,187,9.0,88,49169,
3,Dune,/title/tt1160419/,2021,155,8.1,74,539752,
4,Spider-Man: No Way Home,/title/tt10872600/,2021,148,8.5,71,579950,
5,Drive My Car,/title/tt14039582/,2021,179,7.6,91,33740,
6,The Godfather,/title/tt0068646/,1972,175,9.2,100,1770951,134.97
7,The Worst Person in the World,/title/tt10370710/,2021,128,7.9,90,35988,
8,Blade Runner 2049,/title/tt1856101/,2017,164,8.0,81,535135,92.05
9,The Dark Knight,/title/tt0468569/,2008,152,9.1,84,2537858,534.86
10,Once Upon a Time... In Hollywood,/title/tt7131622/,2019,161,7.6,83,681732,142.5
11,Zack Snyder's Justice League,/title/tt12361974/,2021,242,8.1,54,371320,
12,The Shawshank Redemption,/title/tt0111161/,1994,142,9.3,81,2571754,28.34
13,Avengers: Endgame,/title/tt4154796/,2019,181,8.4,78,1036798,858.37
14,Pulp Fiction,/title/tt0110912/,1994,154,8.9,94,1974053,107.93
15,Interstellar,/title/tt0816692/,2014,169,8.7,74,1715917,188.02
16,The Dark Knight Rises,/title/tt1345836/,2012,164,8.4,78,1642694,448.14
17,Joker,/title/tt7286456/,2019,122,8.4,59,1175253,335.45
18,Batman Begins,/title/tt0372784/,2005,140,8.3,70,1418138,206.85
19,Harry Potter and the Sorcerer's Stone,/title/tt0241527/,2001,152,7.6,65,747490,317.58
20,The Godfather: Part II,/title/tt0071562/,1974,202,9.0,90,1224730,57.3
21,Parasite,/title/tt6751668/,2019,132,8.5,96,733463,53.37
22,American Psycho,/title/tt0144084/,2000,102,7.6,64,560077,15.07
23,Blade Runner,/title/tt0083658/,1982,117,8.1,84,745519,32.87
24,The Wolf of Wall Street,/title/tt0993846/,2013,180,8.2,75,1331577,116.9
25,Braveheart,/title/tt0112573/,1995,178,8.4,68,1013380,75.6
26,Knives Out,/title/tt8946378/,2019,130,7.9,82,583974,165.36
27,Inception,/title/tt1375666/,2010,148,8.8,74,2257184,292.58
28,Heat,/title/tt0113277/,1995,170,8.3,76,630727,67.44
29,The Mitchells vs the Machines,/title/tt7979580/,2021,113,7.7,81,98496,
30,Prisoners,/title/tt1392214/,2013,153,8.1,70,674315,61.0
31,Titanic,/title/tt0120338/,1997,194,7.9,75,1128271,659.33
32,Fight Club,/title/tt0137523/,1999,139,8.8,66,2023822,37.03
33,Kingsman: The Secret Service,/title/tt2802144/,2014,129,7.7,60,649317,128.26
34,Dunkirk,/title/tt5013056/,2017,106,7.8,94,627718,188.37
35,Requiem for a Dream,/title/tt0180093/,2000,102,8.3,68,817483,3.64
36,Mad Max: Fury Road,/title/tt1392190/,2015,120,8.1,90,963548,154.06
37,Jojo Rabbit,/title/tt2584384/,2019,108,7.9,58,364432,0.35
38,Avengers: Infinity War,/title/tt4154756/,2018,149,8.5,68,1001437,678.82
39,Inglourious Basterds,/title/tt0361748/,2009,153,8.3,69,1386513,120.54
40,Django Unchained,/title/tt1853728/,2012,165,8.5,81,1486442,162.81
41,Goodfellas,/title/tt0099685/,1990,145,8.7,90,1109737,46.84
42,To Kill a Mockingbird,/title/tt0056592/,1962,129,8.3,88,310743,
43,The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/,2001,178,8.9,92,1790697,315.54
44,The Gentlemen,/title/tt8367814/,2019,113,7.8,51,309378,
45,Deadpool,/title/tt1431045/,2016,108,8.0,65,990444,363.07
46,The Green Mile,/title/tt0120689/,1999,189,8.6,61,1250579,136.8
47,Ford v Ferrari,/title/tt1950186/,2019,152,8.1,81,362356,117.62
48,Se7en,/title/tt0114369/,1995,127,8.6,65,1577247,100.13
49,Green Book,/title/tt6966692/,2018,130,8.2,69,459559,85.08
